Content,is_pos,is_serv,is_product,is_price,is_env
送的块，番茄酱给了3包，好评,1,1,,,
送到的时候奶茶撒了点，可能是盖子没扣好，但我绝对不怪外卖小哥，他态度特别好说要再给我买一杯，做人不能不讲究，态度真的很不错，都不容易，何况只撒了一点，没必要责怪，给这个小哥点个赞，加油，我们都是奋斗中的年轻人,1,1,,,
留言时让带调料包，店家没有给拿,-1,-1,,,
口感非常好。非常好吃孩子们都喜欢吃。,1,,1,,
送货快，服务态度都好。,1,1,,,
就是咖喱可以在多点，哈哈,-1,,-1,,
很棒，一直买他家的盖饭！,1,,1,,
没的说，无可挑剔,1,,,,
很好吃的。#超级鸡腿堡(原味)#,1,,1,,
厉害了，肉夹头发是么？,-1,,-1,,
还可以吧，就是奶茶撒了点，应该是骑车手骑的太快了,-1,-1,,,
我觉得汉堡也应该是盒子装  毕竟外卖送的过程不是当时就餐 ,-1,-1,-1,,
鸡腿??变鸡块怎么解释？定了好多次鸡腿都没出现过今天的状况,-1,-1,,,
因为有送餐员的辛勤付出，才有我们手中现成的饭菜，在这里说声谢谢。辛苦!,1,1,,,
和图片的餐不一致#双层脆鸡大大堡套餐#上介绍的是柠檬饮料，送来的是加冰可乐#魔法鸡块/6块#??,-1,-1,1,,
好吃，一如既往地好吃,1,,,,
紫菜芙蓉汤也太少了,-1,,-1,,
东西送到已经凉了,-1,-1,,,
宝贝点的 #菠萝鸡腿堡##南洋鸡肉脆皮卷#，好吃,1,,1,,
定多少次了，一包黑胡椒都不给，能损失多少？,-1,-1,,,
#超级鸡腿堡#非常不是速度,1,1,,,
一如既往地好吃。,1,,1,,
那个汉堡可真不好吃,-1,,-1,,
送货神速，汉堡完整\n,1,1,,,
这肉怎么整的梆硬，而却面包还是还是凉的，真感觉德克士要完犊子，品质越来越次。,-1,,-1,,
\n\n\n饭里汤没了哎闹心#照烧鸡肉饭#\n,-1,,-1,,
最喜欢喝牛奶！要是有大杯就好了,1,,1,,
速度很快，孩子很爱吃。方便,1,1,,,
配送时间就汉堡和鸡块凉了，其实我理解大家都不容易，但是如果送不过来还是希望骑手不要一起接多单，这样也会影响到别人,-1,-1,,,
很满意，速度很快,1,1,,,
德克士的#原味超级鸡腿堡餐##咔滋薯霸（中）#就是好吃，美味，建议购买,1,,1,,
大晚上喝有点不好找，都挺不容易的，给个好评吧,1,,,,
我要的炸鸡 为什么给我送的鸡腿,-1,-1,,,
只能给你一般，因为咖啡没加糖没加奶，超级苦，比药都难喝。,-1,,-1,,
难怪你家挣钱，呵呵,-1,,,,
好吃#脆皮炸鸡餐##超级鸡腿堡特#,1,,1,,
忘记改地址了，让送餐的帮忙送一下一个地址都不给送。东西只能放这摆着了,-1,-1,,,
没给我调料包，下次多给我两个,-1,-1,,,
好吃#咖喱脆皮鸡腿饭餐##超级鸡腿堡单人餐#,1,,1,,
每周必点，不错。,1,,,,
挺好  就是  鸡块有一点点火轻了,-1,,-1,,
还不错速度就是快 也很好吃 就是柠檬水太一般了,-1,1,-1,,
一如既往滴好吃，速度快！,1,1,1,,
说了饮料不加冰  还是放冰 晕,-1,-1,,,
#超级鸡腿堡特##椰蓉蝴蝶虾##魔法鸡块/6块#好吃,1,,1,,
#鲜蔬脆鸡堡套餐#好吃,1,,1,,
快，干净，好吃，,1,1,1,,
态度好，服务周到谢谢,1,1,,,
除了汉堡有点凉了，不是辣的以外，其他都挺好,-1,,-1,,
#咔滋薯霸（大）#大份薯条还没有在店里买的中号大#咔滋薯霸（大）#,-1,,-1,,
不会再买了...备注了可乐不加冰 但是完全没有被理会...中薯的量跟KFC小薯一样 ...脆皮鸡翅 外层面粉超多，就菠萝汉堡还挺好吃的,-1,-1,-1,,
味道还不错吧，我想讲的是德克士服务员态度都太差了，尤其是个叫周玲的从来都不微笑，就算了，每次搞的别人欠她钱一样我也是服了，送到门口一句话不讲递给我就走了，好高冷啊我的妈,-1,-1,1,,
效率高啊。还是美女配送的??,1,1,,,
都很满意，味道也好,1,,1,,
老公说味道不错，里面的汤单独包装没有漏，很好，下次再点,1,1,,,
买三个拿两个盒子装。呵呵。,-1,-1,,,
